such beauties
fiery wings
next morning
great multitude
much money
deep forest
enormous house
five-headed dragon
long time
great beauty
Little doves
wicked dragon
good horse
peaceful purposes
little doves
eldest daughter
next sister
seven-headed dragon
twelve-headed dragon
second sister
high fence
Russian breath
second daughter
youngest sister
steep ravine
other side
enormous pillars
chained lions
ferocious lions
worse terrors
old man
evil place
great force
clever fellow
other princesses
native land
big cap
three-flapped cap
royal treasury
enough money
